ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
7,"Architecture & Engineering Occupations",2013,"2013",91663,11935,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Architecture & Engineering Occupations",2016,"2016",86806,7134,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Architecture & Engineering Occupations",2017,"2017",85513,9920,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Architecture & Engineering Occupations",2014,"2014",84119,7140,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
7,"Architecture & Engineering Occupations",2015,"2015",80051,12011,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
6,"Computer & Mathematical Occupations",2017,"2017",76604,6764,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
11,"Legal Occupations",2017,"2017",76529,67322,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
3,"Management Occupations",2016,"2016",75624,4227,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
3,"Management Occupations",2017,"2017",75066,9813,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
3,"Management Occupations",2015,"2015",74462,6425,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Computer, Engineering, & Science Occupations",2017,"2017",72387,4821,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Computer, Engineering, & Science Occupations",2013,"2013",71931,3894,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
3,"Management Occupations",2013,"2013",71644,9113,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
6,"Computer & Mathematical Occupations",2013,"2013",71476,4155,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2,"Management, Business, & Financial Occupations",2016,"2016",71456,5686,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2013,"2013",71268,4088,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2014,"2014",70993,9909,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
3,"Management Occupations",2014,"2014",70731,7839,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2,"Management, Business, & Financial Occupations",2013,"2013",69220,5022,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2,"Management, Business, & Financial Occupations",2017,"2017",69070,6121,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Computer, Engineering, & Science Occupations",2016,"2016",68210,5866,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
6,"Computer & Mathematical Occupations",2016,"2016",68155,5475,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2016,"2016",67468,10336,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2,"Management, Business, & Financial Occupations",2015,"2015",67232,7343,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
21,"Law Enforcement Workers Including Supervisors",2016,"2016",66008,52009,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2,"Management, Business, & Financial Occupations",2014,"2014",65774,3897,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
6,"Computer & Mathematical Occupations",2015,"2015",65499,6823,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
14,"Healthcare Practitioners & Technical Occupations",2013,"2013",65172,6111,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2015,"2015",64285,4538,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2017,"2017",63897,4992,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
6,"Computer & Mathematical Occupations",2014,"2014",63288,7032,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
4,"Business & Financial Operations Occupations",2017,"2017",63031,8484,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
11,"Legal Occupations",2016,"2016",62458,28457,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Computer, Engineering, & Science Occupations",2014,"2014",62380,6121,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
4,"Business & Financial Operations Occupations",2016,"2016",61799,7572,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
5,"Computer, Engineering, & Science Occupations",2015,"2015",61485,2995,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
21,"Law Enforcement Workers Including Supervisors",2015,"2015",61321,8116,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
11,"Legal Occupations",2014,"2014",61181,22487,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
4,"Business & Financial Operations Occupations",2013,"2013",61174,9448,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
21,"Law Enforcement Workers Including Supervisors",2017,"2017",61105,4213,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
14,"Healthcare Practitioners & Technical Occupations",2016,"2016",60917,2685,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
1,"Management, Business, Science, & Arts Occupations",2013,"2013",60506,3014,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
21,"Law Enforcement Workers Including Supervisors",2014,"2014",60399,8592,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
11,"Legal Occupations",2013,"2013",60325,20930,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
14,"Healthcare Practitioners & Technical Occupations",2014,"2014",60142,5259,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
14,"Healthcare Practitioners & Technical Occupations",2015,"2015",60040,5227,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
14,"Healthcare Practitioners & Technical Occupations",2017,"2017",59927,2900,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
1,"Management, Business, Science, & Arts Occupations",2017,"2017",59660,3322,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
1,"Management, Business, Science, & Arts Occupations",2016,"2016",57767,3706,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
1,"Management, Business, Science, & Arts Occupations",2014,"2014",55883,2394,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
19,"Protective Service Occupations",2015,"2015",55798,9799,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
11,"Legal Occupations",2015,"2015",55605,32798,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
21,"Law Enforcement Workers Including Supervisors",2013,"2013",54516,7504,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
4,"Business & Financial Operations Occupations",2014,"2014",53716,6973,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
19,"Protective Service Occupations",2014,"2014",53540,18067,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
1,"Management, Business, Science, & Arts Occupations",2015,"2015",52447,2899,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
4,"Business & Financial Operations Occupations",2015,"2015",51851,4324,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Life, Physical, & Social Science Occupations",2013,"2013",50424,11764,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Life, Physical, & Social Science Occupations",2017,"2017",49552,8354,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Life, Physical, & Social Science Occupations",2016,"2016",48594,7632,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
31,"Installation, Maintenance, & Repair Occupations",2017,"2017",48452,4536,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2017,"2017",47781,6467,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
31,"Installation, Maintenance, & Repair Occupations",2016,"2016",46846,17698,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2015,"2015",45986,33704,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
31,"Installation, Maintenance, & Repair Occupations",2014,"2014",45633,4773,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Community & Social Service Occupations",2017,"2017",45349,13513,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
30,"Construction & Extraction Occupations",2017,"2017",44547,14630,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Community & Social Service Occupations",2014,"2014",42848,5424,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Community & Social Service Occupations",2016,"2016",42285,2568,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Community & Social Service Occupations",2013,"2013",42092,6917,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
12,"Education, Training, & Library Occupations",2014,"2014",41397,7086,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
19,"Protective Service Occupations",2013,"2013",40977,22943,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2014,"2014",40956,3648,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2014,"2014",40861,4900,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
31,"Installation, Maintenance, & Repair Occupations",2013,"2013",40351,9215,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2013,"2013",40012,4535,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
12,"Education, Training, & Library Occupations",2013,"2013",38625,7442,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Total",2016,"2016",38383,3005,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
29,"Farming, Fishing, & Forestry Occupations",2017,"2017",38362,83212,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Life, Physical, & Social Science Occupations",2015,"2015",37741,7577,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Total",2017,"2017",37514,2249,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2016,"2016",37237,4107,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
19,"Protective Service Occupations",2017,"2017",37159,28684,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
16,"Health Technologists & Technicians",2017,"2017",36618,19823,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2014,"2014",36599,39323,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Total",2013,"2013",36223,1567,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2013,"2013",36213,5772,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Total",2014,"2014",36174,1116,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2014,"2014",36168,7339,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2017,"2017",36117,3342,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
19,"Protective Service Occupations",2016,"2016",36111,9921,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
34,"Transportation Occupations",2017,"2017",35980,5900,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
0,"Total",2015,"2015",35299,1400,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
12,"Education, Training, & Library Occupations",2015,"2015",35123,6615,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
12,"Education, Training, & Library Occupations",2017,"2017",34994,6276,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2015,"2015",34878,4907,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2016,"2016",34428,11578,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
16,"Health Technologists & Technicians",2013,"2013",33750,11363,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
16,"Health Technologists & Technicians",2014,"2014",33524,6815,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
12,"Education, Training, & Library Occupations",2016,"2016",33290,4385,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
10,"Community & Social Service Occupations",2015,"2015",33262,6818,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
31,"Installation, Maintenance, & Repair Occupations",2015,"2015",33251,8311,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2016,"2016",32974,6260,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
8,"Life, Physical, & Social Science Occupations",2014,"2014",32966,4606,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
30,"Construction & Extraction Occupations",2016,"2016",32530,7531,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2017,"2017",32103,6982,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
16,"Health Technologists & Technicians",2015,"2015",32002,9489,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
33,"Production Occupations",2014,"2014",31987,5877,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2013,"2013",31782,8382,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
33,"Production Occupations",2017,"2017",31672,2611,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
30,"Construction & Extraction Occupations",2013,"2013",31404,7446,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2015,"2015",31306,1786,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
30,"Construction & Extraction Occupations",2015,"2015",30955,4424,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
26,"Sales & Related Occupations",2016,"2016",30525,11665,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
33,"Production Occupations",2015,"2015",30393,6601,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
