ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
8,"Life, Physical, & Social Science Occupations",2017,"2017",83438,47763,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
11,"Legal Occupations",2013,"2013",77500,53553,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
8,"Life, Physical, & Social Science Occupations",2015,"2015",76875,47332,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
8,"Life, Physical, & Social Science Occupations",2016,"2016",76250,62332,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
11,"Legal Occupations",2017,"2017",73295,12444,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
11,"Legal Occupations",2015,"2015",67417,84416,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
11,"Legal Occupations",2014,"2014",66000,8814,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
7,"Architecture & Engineering Occupations",2017,"2017",64021,3762,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
5,"Computer, Engineering, & Science Occupations",2017,"2017",63942,5534,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
7,"Architecture & Engineering Occupations",2013,"2013",63452,3963,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
6,"Computer & Mathematical Occupations",2016,"2016",62917,11180,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
11,"Legal Occupations",2016,"2016",62813,45715,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
5,"Computer, Engineering, & Science Occupations",2016,"2016",62522,4218,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
7,"Architecture & Engineering Occupations",2015,"2015",62369,5168,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
7,"Architecture & Engineering Occupations",2016,"2016",62368,4339,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
5,"Computer, Engineering, & Science Occupations",2015,"2015",62146,3642,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
7,"Architecture & Engineering Occupations",2014,"2014",61627,5842,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
6,"Computer & Mathematical Occupations",2017,"2017",60583,12199,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
5,"Computer, Engineering, & Science Occupations",2014,"2014",60485,5949,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
6,"Computer & Mathematical Occupations",2014,"2014",59464,13580,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
5,"Computer, Engineering, & Science Occupations",2013,"2013",58309,10211,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
3,"Management Occupations",2017,"2017",56312,4503,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
3,"Management Occupations",2016,"2016",56205,4811,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
3,"Management Occupations",2015,"2015",55544,6596,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
6,"Computer & Mathematical Occupations",2015,"2015",55179,14720,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2013,"2013",55054,7337,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
8,"Life, Physical, & Social Science Occupations",2014,"2014",54038,16484,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
2,"Management, Business, & Financial Occupations",2017,"2017",53414,4902,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
8,"Life, Physical, & Social Science Occupations",2013,"2013",53413,10472,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
2,"Management, Business, & Financial Occupations",2016,"2016",53388,4195,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
2,"Management, Business, & Financial Occupations",2015,"2015",53166,3868,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
3,"Management Occupations",2013,"2013",52374,5581,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
3,"Management Occupations",2014,"2014",51570,3740,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2016,"2016",51542,4717,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2015,"2015",51063,4247,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2017,"2017",51023,3113,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
30,"Construction & Extraction Occupations",2017,"2017",50390,7149,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
2,"Management, Business, & Financial Occupations",2014,"2014",50346,3160,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
2,"Management, Business, & Financial Occupations",2013,"2013",50324,2967,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2014,"2014",50148,4362,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
6,"Computer & Mathematical Occupations",2013,"2013",50000,8380,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
30,"Construction & Extraction Occupations",2015,"2015",49773,4760,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
4,"Business & Financial Operations Occupations",2015,"2015",49500,7006,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
30,"Construction & Extraction Occupations",2016,"2016",48700,5511,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
30,"Construction & Extraction Occupations",2013,"2013",48054,6117,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
1,"Management, Business, Science, & Arts Occupations",2017,"2017",47081,2033,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
4,"Business & Financial Operations Occupations",2013,"2013",46953,7957,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2015,"2015",46667,4471,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
4,"Business & Financial Operations Occupations",2017,"2017",46635,3965,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
1,"Management, Business, Science, & Arts Occupations",2016,"2016",46468,1515,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2017,"2017",46336,3358,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
1,"Management, Business, Science, & Arts Occupations",2015,"2015",46250,1953,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
14,"Healthcare Practitioners & Technical Occupations",2016,"2016",46220,3767,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
4,"Business & Financial Operations Occupations",2016,"2016",46053,5030,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
31,"Installation, Maintenance, & Repair Occupations",2017,"2017",45859,3954,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2016,"2016",45819,2713,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
30,"Construction & Extraction Occupations",2014,"2014",45775,3972,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
4,"Business & Financial Operations Occupations",2014,"2014",45163,8160,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
1,"Management, Business, Science, & Arts Occupations",2014,"2014",45095,1429,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
1,"Management, Business, Science, & Arts Occupations",2013,"2013",45082,2125,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
31,"Installation, Maintenance, & Repair Occupations",2016,"2016",45025,4603,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
14,"Healthcare Practitioners & Technical Occupations",2017,"2017",44833,3433,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
31,"Installation, Maintenance, & Repair Occupations",2015,"2015",44667,7080,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
14,"Healthcare Practitioners & Technical Occupations",2015,"2015",44402,2659,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2014,"2014",44124,3702,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
14,"Healthcare Practitioners & Technical Occupations",2013,"2013",43886,2542,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
12,"Education, Training, & Library Occupations",2013,"2013",43820,2623,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
14,"Healthcare Practitioners & Technical Occupations",2014,"2014",43680,1671,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2013,"2013",43627,4207,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
31,"Installation, Maintenance, & Repair Occupations",2014,"2014",43281,6536,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
31,"Installation, Maintenance, & Repair Occupations",2013,"2013",42221,5879,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
34,"Transportation Occupations",2016,"2016",41789,6590,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
34,"Transportation Occupations",2014,"2014",41385,1873,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
34,"Transportation Occupations",2015,"2015",40822,4510,"Michigan City-La Porte, IN","31000US33140","michigan-city-la-porte-in-metro-area"
