ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
11,"Legal Occupations",2015,"2015",130795,70868,"Washington, IN","31000US47780","washington-in-micro-area"
11,"Legal Occupations",2016,"2016",130469,86819,"Washington, IN","31000US47780","washington-in-micro-area"
11,"Legal Occupations",2013,"2013",93375,71462,"Washington, IN","31000US47780","washington-in-micro-area"
6,"Computer & Mathematical Occupations",2017,"2017",70469,53606,"Washington, IN","31000US47780","washington-in-micro-area"
7,"Architecture & Engineering Occupations",2017,"2017",70179,34231,"Washington, IN","31000US47780","washington-in-micro-area"
6,"Computer & Mathematical Occupations",2014,"2014",66136,7459,"Washington, IN","31000US47780","washington-in-micro-area"
6,"Computer & Mathematical Occupations",2013,"2013",65924,8592,"Washington, IN","31000US47780","washington-in-micro-area"
7,"Architecture & Engineering Occupations",2014,"2014",65800,20212,"Washington, IN","31000US47780","washington-in-micro-area"
5,"Computer, Engineering, & Science Occupations",2017,"2017",63023,12960,"Washington, IN","31000US47780","washington-in-micro-area"
7,"Architecture & Engineering Occupations",2013,"2013",62875,22419,"Washington, IN","31000US47780","washington-in-micro-area"
8,"Life, Physical, & Social Science Occupations",2017,"2017",62854,28135,"Washington, IN","31000US47780","washington-in-micro-area"
11,"Legal Occupations",2017,"2017",61833,117039,"Washington, IN","31000US47780","washington-in-micro-area"
5,"Computer, Engineering, & Science Occupations",2014,"2014",60625,13706,"Washington, IN","31000US47780","washington-in-micro-area"
7,"Architecture & Engineering Occupations",2016,"2016",60556,18599,"Washington, IN","31000US47780","washington-in-micro-area"
8,"Life, Physical, & Social Science Occupations",2016,"2016",60313,33607,"Washington, IN","31000US47780","washington-in-micro-area"
5,"Computer, Engineering, & Science Occupations",2016,"2016",60263,12795,"Washington, IN","31000US47780","washington-in-micro-area"
5,"Computer, Engineering, & Science Occupations",2013,"2013",60145,14123,"Washington, IN","31000US47780","washington-in-micro-area"
11,"Legal Occupations",2014,"2014",59500,77583,"Washington, IN","31000US47780","washington-in-micro-area"
3,"Management Occupations",2017,"2017",55337,8289,"Washington, IN","31000US47780","washington-in-micro-area"
4,"Business & Financial Operations Occupations",2013,"2013",54231,9707,"Washington, IN","31000US47780","washington-in-micro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2015,"2015",53220,6504,"Washington, IN","31000US47780","washington-in-micro-area"
2,"Management, Business, & Financial Occupations",2017,"2017",53171,5380,"Washington, IN","31000US47780","washington-in-micro-area"
2,"Management, Business, & Financial Occupations",2013,"2013",52218,6948,"Washington, IN","31000US47780","washington-in-micro-area"
3,"Management Occupations",2014,"2014",52075,10681,"Washington, IN","31000US47780","washington-in-micro-area"
2,"Management, Business, & Financial Occupations",2014,"2014",51843,6478,"Washington, IN","31000US47780","washington-in-micro-area"
6,"Computer & Mathematical Occupations",2016,"2016",51667,50568,"Washington, IN","31000US47780","washington-in-micro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2016,"2016",51556,1608,"Washington, IN","31000US47780","washington-in-micro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2017,"2017",51547,2790,"Washington, IN","31000US47780","washington-in-micro-area"
3,"Management Occupations",2013,"2013",51492,8324,"Washington, IN","31000US47780","washington-in-micro-area"
7,"Architecture & Engineering Occupations",2015,"2015",51389,11947,"Washington, IN","31000US47780","washington-in-micro-area"
4,"Business & Financial Operations Occupations",2014,"2014",51350,7337,"Washington, IN","31000US47780","washington-in-micro-area"
3,"Management Occupations",2016,"2016",51081,11137,"Washington, IN","31000US47780","washington-in-micro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2013,"2013",50930,7667,"Washington, IN","31000US47780","washington-in-micro-area"
5,"Computer, Engineering, & Science Occupations",2015,"2015",50324,7792,"Washington, IN","31000US47780","washington-in-micro-area"
2,"Management, Business, & Financial Occupations",2016,"2016",50287,6008,"Washington, IN","31000US47780","washington-in-micro-area"
15,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2014,"2014",50201,7394,"Washington, IN","31000US47780","washington-in-micro-area"
6,"Computer & Mathematical Occupations",2015,"2015",50000,43974,"Washington, IN","31000US47780","washington-in-micro-area"
4,"Business & Financial Operations Occupations",2017,"2017",49773,14994,"Washington, IN","31000US47780","washington-in-micro-area"
4,"Business & Financial Operations Occupations",2015,"2015",48750,8445,"Washington, IN","31000US47780","washington-in-micro-area"
2,"Management, Business, & Financial Occupations",2015,"2015",47426,7919,"Washington, IN","31000US47780","washington-in-micro-area"
14,"Healthcare Practitioners & Technical Occupations",2015,"2015",47188,8232,"Washington, IN","31000US47780","washington-in-micro-area"
4,"Business & Financial Operations Occupations",2016,"2016",46974,9902,"Washington, IN","31000US47780","washington-in-micro-area"
1,"Management, Business, Science, & Arts Occupations",2017,"2017",46907,3381,"Washington, IN","31000US47780","washington-in-micro-area"
14,"Healthcare Practitioners & Technical Occupations",2016,"2016",46838,9443,"Washington, IN","31000US47780","washington-in-micro-area"
1,"Management, Business, Science, & Arts Occupations",2016,"2016",46747,2737,"Washington, IN","31000US47780","washington-in-micro-area"
8,"Life, Physical, & Social Science Occupations",2015,"2015",46146,39547,"Washington, IN","31000US47780","washington-in-micro-area"
1,"Management, Business, Science, & Arts Occupations",2013,"2013",45936,2266,"Washington, IN","31000US47780","washington-in-micro-area"
1,"Management, Business, Science, & Arts Occupations",2014,"2014",45787,2758,"Washington, IN","31000US47780","washington-in-micro-area"
3,"Management Occupations",2015,"2015",45357,10887,"Washington, IN","31000US47780","washington-in-micro-area"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2013,"2013",45000,14883,"Washington, IN","31000US47780","washington-in-micro-area"
21,"Law Enforcement Workers Including Supervisors",2017,"2017",44722,8672,"Washington, IN","31000US47780","washington-in-micro-area"
1,"Management, Business, Science, & Arts Occupations",2015,"2015",44671,2187,"Washington, IN","31000US47780","washington-in-micro-area"
14,"Healthcare Practitioners & Technical Occupations",2014,"2014",44629,1823,"Washington, IN","31000US47780","washington-in-micro-area"
14,"Healthcare Practitioners & Technical Occupations",2013,"2013",43991,3871,"Washington, IN","31000US47780","washington-in-micro-area"
12,"Education, Training, & Library Occupations",2014,"2014",43944,1311,"Washington, IN","31000US47780","washington-in-micro-area"
12,"Education, Training, & Library Occupations",2013,"2013",43750,3283,"Washington, IN","31000US47780","washington-in-micro-area"
31,"Installation, Maintenance, & Repair Occupations",2013,"2013",43352,4232,"Washington, IN","31000US47780","washington-in-micro-area"
14,"Healthcare Practitioners & Technical Occupations",2017,"2017",43250,19176,"Washington, IN","31000US47780","washington-in-micro-area"
12,"Education, Training, & Library Occupations",2015,"2015",42851,7799,"Washington, IN","31000US47780","washington-in-micro-area"
12,"Education, Training, & Library Occupations",2016,"2016",42578,10668,"Washington, IN","31000US47780","washington-in-micro-area"
31,"Installation, Maintenance, & Repair Occupations",2017,"2017",42188,11010,"Washington, IN","31000US47780","washington-in-micro-area"
30,"Construction & Extraction Occupations",2017,"2017",42115,8040,"Washington, IN","31000US47780","washington-in-micro-area"
31,"Installation, Maintenance, & Repair Occupations",2014,"2014",42017,9434,"Washington, IN","31000US47780","washington-in-micro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2014,"2014",41523,5279,"Washington, IN","31000US47780","washington-in-micro-area"
21,"Law Enforcement Workers Including Supervisors",2016,"2016",41106,8933,"Washington, IN","31000US47780","washington-in-micro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2013,"2013",40732,6328,"Washington, IN","31000US47780","washington-in-micro-area"
31,"Installation, Maintenance, & Repair Occupations",2015,"2015",40500,6142,"Washington, IN","31000US47780","washington-in-micro-area"
19,"Protective Service Occupations",2017,"2017",40458,20731,"Washington, IN","31000US47780","washington-in-micro-area"
34,"Transportation Occupations",2015,"2015",40219,4559,"Washington, IN","31000US47780","washington-in-micro-area"
31,"Installation, Maintenance, & Repair Occupations",2016,"2016",40179,10081,"Washington, IN","31000US47780","washington-in-micro-area"
21,"Law Enforcement Workers Including Supervisors",2015,"2015",39821,8842,"Washington, IN","31000US47780","washington-in-micro-area"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2015,"2015",39563,6966,"Washington, IN","31000US47780","washington-in-micro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2017,"2017",39534,5634,"Washington, IN","31000US47780","washington-in-micro-area"
19,"Protective Service Occupations",2013,"2013",38967,3550,"Washington, IN","31000US47780","washington-in-micro-area"
34,"Transportation Occupations",2017,"2017",38667,5641,"Washington, IN","31000US47780","washington-in-micro-area"
21,"Law Enforcement Workers Including Supervisors",2013,"2013",38424,3689,"Washington, IN","31000US47780","washington-in-micro-area"
34,"Transportation Occupations",2014,"2014",38333,5427,"Washington, IN","31000US47780","washington-in-micro-area"
30,"Construction & Extraction Occupations",2015,"2015",38198,3281,"Washington, IN","31000US47780","washington-in-micro-area"
28,"Natural Resources, Construction, & Maintenance Occupations",2013,"2013",37819,3184,"Washington, IN","31000US47780","washington-in-micro-area"
